course,category,institution,type,skills,personality,inclination
Wargaming,Activity,,,"Critical Thinking, Planning, Social Skills, Strategy",Openness,Realistic
Card Games,Activity,,,"Critical Thinking, Planning, Social Skills, Strategy",Openness,Realistic
Chess,Activity,,,"Focus, Patience, Pattern Recognition, Strategic Thinking",Conscientiousness,Investigative
Go,Activity,,,"Focus, Patience, Pattern Recognition, Strategic Thinking",Conscientiousness,Realistic
Puzzle Games,Activity,,,"Logic, Patience, Pattern Recognition, Problem Solving",Conscientiousness,Investigative
Escape Rooms,Activity,,,"Logic, Problem Solving, Teamwork, Time Management",Openness,Realistic
LAN Gaming,Activity,,,"Focus, Hand-Eye Coordination, Problem Solving, Strategy",Openness,Realistic
Coin Collecting,Activity,,,"Knowledge, Organization, Patience, Research",Conscientiousness,Conventional
Stamp Collecting,Activity,,,"Knowledge, Organization, Patience, Research",Conscientiousness,Conventional
Vinyl Records,Activity,,,"Knowledge, Organization, Patience, Research",Openness,Realistic
Books,Activity,,,"Appreciation, Knowledge, Organization, Reading",Openness,Realistic
Action Figures,Activity,,,"Knowledge, Organization, Patience, Research",Openness,Realistic
Model Kits,Activity,,,"Knowledge, Organization, Patience, Research",Conscientiousness,Realistic
LEGO,Activity,,,"Knowledge, Organization, Patience, Research",Conscientiousness,Realistic
Sneakers,Activity,,,"Knowledge, Organization, Patience, Research",Openness,Realistic
Watches,Activity,,,"Knowledge, Organization, Patience, Research",Openness,Realistic
Antiques,Activity,,,"Knowledge, Organization, Patience, Research",Openness,Realistic
Crystals,Activity,,,"Knowledge, Organization, Patience, Research",Openness,Realistic
Trading Cards,Activity,,,"Knowledge, Organization, Patience, Research",Openness,Realistic
Reading,Activity,,,"Analysis, Critical Thinking, Knowledge Acquisition, Reading Comprehension",Openness,Realistic
Book Clubs,Activity,,,"Analysis, Critical Thinking, Knowledge Acquisition, Reading Comprehension",Extraversion,Realistic
Creative Writing,Activity,,,"Communication, Creativity, Expression, Writing",Openness,Artistic
Blogging,Activity,,,"Communication, Creativity, Expression, Writing",Openness,Artistic
Language Learning,Activity,,,"Communication, Cultural Awareness, Language Skills, Persistence",Openness,Realistic
Philosophy,Activity,,,"Analysis, Critical Thinking, Knowledge, Research",Openness,Investigative
History,Activity,,,"Analysis, Critical Thinking, Knowledge, Research",Openness,Investigative
Astronomy,Activity,,,"Analysis, Critical Thinking, Knowledge, Research",Openness,Investigative
Natural Sciences,Activity,,,"Analysis, Critical Thinking, Knowledge, Research",Openness,Investigative
Trivia,Activity,,,"General Knowledge, Memory, Quick Thinking, Recall",Openness,Investigative
Puzzles,Activity,,,"Logic, Patience, Pattern Recognition, Problem Solving",Conscientiousness,Investigative
Memory Training,Activity,,,"Data Analysis, Mathematical Thinking, Problem Solving, Programming",Conscientiousness,Investigative
Cooking,Activity,,,"Creativity, Culinary Skills, Precision, Time Management",Openness,Realistic
Baking,Activity,,,"Creativity, Culinary Skills, Precision, Time Management",Openness,Realistic
Pastry Making,Activity,,,"Creativity, Culinary Skills, Precision, Time Management",Openness,Realistic
Cake Decorating,Activity,,,"Artistic Expression, Creativity, Culinary Skills, Precision",Openness,Realistic
Chocolate Making,Activity,,,"Artistic Expression, Creativity, Culinary Skills, Precision",Openness,Realistic
Ice Cream Making,Activity,,,"Artistic Expression, Creativity, Culinary Skills, Precision",Openness,Realistic
Fermentation,Activity,,,"Experimentation, Patience, Precision, Science Knowledge",Openness,Realistic
Brewing,Activity,,,"Experimentation, Patience, Precision, Science Knowledge",Openness,Realistic
Mixology,Activity,,,"Creativity, Customer Service, Knowledge, Presentation",Openness,Realistic
Coffee Making,Activity,,,"Appreciation, Knowledge, Precision, Ritual",Openness,Realistic
Tea Ceremony,Activity,,,"Appreciation, Knowledge, Precision, Ritual",Openness,Realistic
Wine Tasting,Activity,,,"Appreciation, Evaluation, Knowledge, Sensory Awareness",Openness,Realistic
Food Photography,Activity,,,"Creativity, Photography, Styling, Visual Composition",Openness,Artistic
BBQ,Activity,,,"Creativity, Culinary Skills, Precision, Time Management",Openness,Realistic
Sushi Making,Activity,,,"Creativity, Culinary Skills, Precision, Time Management",Openness,Realistic
Molecular Gastronomy,Activity,,,"Analysis, Critical Thinking, Knowledge, Research",Openness,Investigative
Foraging,Activity,,,"Identification, Nature Knowledge, Observation, Outdoor Skills",Openness,Realistic
Fashion Design,Activity,,,"Creativity, Design, Technical Skills, Trend Analysis",Openness,Artistic
Sewing,Activity,,,"Attention to Detail, Creativity, Fine Motor Skills, Patience",Openness,Realistic
Tailoring,Activity,,,"Data Analysis, Mathematical Thinking, Problem Solving, Programming",Openness,Investigative
Jewelry Making,Activity,,,"Craftsmanship, Creativity, Design, Fine Motor Skills",Openness,Artistic
Leatherworking,Activity,,,"Craftsmanship, Manual Dexterity, Patience, Precision",Openness,Realistic
Fashion Blogging,Activity,,,"Communication, Creativity, Expression, Writing",Openness,Artistic
Thrift Shopping,Activity,,,"Creativity, Resourcefulness, Style, Sustainability",Openness,Realistic
Upcycling,Activity,,,"Agility, Balance, Coordination, Physical Fitness",Openness,Realistic
Makeup Artistry,Activity,,,"Artistic Expression, Creativity, Precision, Technical Skills",Openness,Artistic
Nail Art,Activity,,,"Data Analysis, Mathematical Thinking, Problem Solving, Programming",Openness,Artistic
Cosplay,Activity,,,"Attention to Detail, Craftsmanship, Creativity, Performance",Openness,Artistic
Photography,Activity,,,"Observation, Photography, Technical Skills, Visual Composition",Openness,Artistic
Portrait Photography,Activity,,,"Data Analysis, Mathematical Thinking, Problem Solving, Programming",Openness,Artistic
Landscape Photography,Activity,,,"Observation, Photography, Technical Skills, Visual Composition",Openness,Artistic
Wildlife Photography,Activity,,,"Observation, Photography, Technical Skills, Visual Composition",Openness,Artistic
Astrophotography,Activity,,,"Observation, Photography, Technical Skills, Visual Composition",Openness,Artistic
Film Photography,Activity,,,"Observation, Photography, Technical Skills, Visual Composition",Openness,Artistic
Drone Photography,Activity,,,"Coordination, Photography, Spatial Awareness, Technical Skills",Openness,Artistic
Videography,Activity,,,"Creativity, Storytelling, Technical Skills, Videography",Openness,Artistic
Filmmaking,Activity,,,"Creativity, Storytelling, Technical Skills, Videography",Openness,Artistic
Vlogging,Activity,,,"Creativity, Storytelling, Technical Skills, Videography",Openness,Realistic
Car Modification,Activity,,,"Mechanical Skills, Patience, Problem Solving, Technical Knowledge",Openness,Realistic
Car Restoration,Activity,,,"Mechanical Skills, Patience, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Motorcycle Riding,Activity,,,"Balance, Coordination, Focus, Risk Management",Openness,Realistic
Go-Karting,Activity,,,"Focus, Hand-Eye Coordination, Reflexes, Strategy",Openness,Artistic
Sim Racing,Activity,,,"Focus, Hand-Eye Coordination, Reflexes, Strategy",Openness,Realistic
Bicycle Building,Activity,,,"Mechanical Skills, Patience, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Volunteering,Activity,,,"Communication, Community Service, Compassion, Empathy",Extraversion,Social
Mentoring,Activity,,,"Communication, Empathy, Knowledge Sharing, Leadership",Extraversion,Social
Language Exchange,Activity,,,"Communication, Cultural Awareness, Language Skills, Persistence",Openness,Social
Social Dancing,Activity,,,"Coordination, Partnership, Rhythm, Social Skills",Extraversion,Social
Networking,Activity,,,"Communication, Professional Skills, Relationship Building, Social Skills",Extraversion,Social
Cultural Associations,Activity,,,"Community, Cultural Awareness, Organization, Social Skills",Openness,Social
Chinese Opera,Activity,,,"Artistic Expression, Cultural Knowledge, Preservation, Tradition",Openness,Realistic
Traditional Crafts,Activity,,,"Artistic Expression, Cultural Knowledge, Preservation, Tradition",Openness,Artistic
Bonsai,Activity,,,"Attention to Detail, Nurturing, Patience, Plant Care",Openness,Investigative
Ikebana,Activity,,,"Artistic Expression, Cultural Knowledge, Preservation, Tradition",Openness,Realistic
Paper Cutting,Activity,,,"Attention to Detail, Patience, Precision, Spatial Reasoning",Openness,Realistic
Heritage Tours,Activity,,,"Artistic Expression, Cultural Knowledge, Preservation, Tradition",Openness,Realistic
Traditional Cooking,Activity,,,"Creativity, Culinary Skills, Precision, Time Management",Openness,Realistic
Storytelling,Activity,,,"Artistic Expression, Cultural Knowledge, Preservation, Tradition",Openness,Realistic
Interior Design,Activity,,,"Aesthetic Sense, Creativity, Design, Spatial Reasoning",Openness,Artistic
Woodworking,Activity,,,"Craftsmanship, Manual Dexterity, Patience, Precision",Openness,Realistic
Wood Carving,Activity,,,"Craftsmanship, Manual Dexterity, Patience, Precision",Openness,Realistic
DIY Home Improvement,Activity,,,"Manual Skills, Planning, Problem Solving, Technical Skills",Openness,Realistic
Home Organization,Activity,,,"Decluttering, Organization, Planning, Systems Thinking",Conscientiousness,Realistic
Candle Making,Activity,,,"Chemistry Knowledge, Craftsmanship, Creativity, Precision",Openness,Realistic
Soap Making,Activity,,,"Chemistry Knowledge, Craftsmanship, Creativity, Precision",Openness,Realistic
Perfume Making,Activity,,,"Chemistry Knowledge, Craftsmanship, Creativity, Precision",Openness,Realistic
Dog Care,Activity,,,"Animal Care, Knowledge, Patience, Responsibility",Agreeableness,Realistic
Cat Care,Activity,,,"Animal Care, Knowledge, Patience, Responsibility",Agreeableness,Realistic
Small Pet Care,Activity,,,"Animal Care, Knowledge, Patience, Responsibility",Agreeableness,Social
Bird Keeping,Activity,,,"Animal Care, Knowledge, Patience, Responsibility",Openness,Realistic
Fish Keeping,Activity,,,"Animal Care, Knowledge, Patience, Responsibility",Openness,Realistic
Reptile Keeping,Activity,,,"Animal Care, Knowledge, Patience, Responsibility",Openness,Realistic
Pet Photography,Activity,,,"Observation, Photography, Technical Skills, Visual Composition",Openness,Artistic
Animal Rescue,Activity,,,"Animal Care, Compassion, Empathy, First Aid",Agreeableness,Social
Travel Planning,Activity,,,"Adaptability, Cultural Awareness, Independence, Planning",Openness,Realistic
Travel Blogging,Activity,,,"Communication, Creativity, Expression, Writing",Openness,Artistic
Backpacking,Activity,,,"Adaptability, Cultural Awareness, Independence, Planning",Openness,Realistic
Solo Travel,Activity,,,"Adaptability, Cultural Awareness, Independence, Planning",Openness,Realistic
Heritage Walks,Activity,,,"Artistic Expression, Cultural Knowledge, Preservation, Tradition",Openness,Realistic
Food Tours,Activity,,,"Cultural Appreciation, Curiosity, Knowledge, Observation",Openness,Realistic
Neighborhood Exploration,Activity,,,"Adventure, Navigation, Outdoor Skills, Physical Fitness",Openness,Realistic
Staycations,Activity,,,"Enjoyment, Local Knowledge, Planning, Relaxation",Openness,Realistic
Movie Watching,Activity,,,"Analysis, Appreciation, Cultural Knowledge, Relaxation",Openness,Realistic
TV Series Watching,Activity,,,"Analysis, Appreciation, Cultural Knowledge, Relaxation",Openness,Realistic
Anime,Activity,,,"Analysis, Appreciation, Cultural Knowledge, Relaxation",Openness,Realistic
Manga,Activity,,,"Analysis, Appreciation, Cultural Knowledge, Relaxation",Openness,Realistic
Podcasts,Activity,,,"Critical Thinking, Knowledge Acquisition, Listening",Openness,Realistic
Live Music,Activity,,,"Appreciation, Confidence, Entertainment, Social Skills",Openness,Artistic
Karaoke,Activity,,,"Appreciation, Confidence, Entertainment, Social Skills",Extraversion,Realistic
Comedy Shows,Activity,,,"Confidence, Humor, Public Speaking, Timing",Extraversion,Realistic
Trivia Nights,Activity,,,"General Knowledge, Memory, Quick Thinking, Recall",Extraversion,Investigative
Bar Games,Activity,,,"Competition, Entertainment, General Knowledge, Social Skills",Extraversion,Realistic
Arcade Gaming,Activity,,,"Competition, Entertainment, General Knowledge, Social Skills",Openness,Realistic
Shopping,Activity,,,"Budget Management, Decision Making, Evaluation, Style",Openness,Realistic
Museum Visits,Activity,,,"Cultural Appreciation, Knowledge, Learning, Observation",Openness,Realistic
Skill Toys,Activity,,,"Coordination, Dexterity, Performance, Practice",Openness,Realistic
Card Flourishing,Activity,,,"Coordination, Dexterity, Performance, Practice",Openness,Realistic
Pen Spinning,Activity,,,"Coordination, Endurance, Physical Fitness, Rhythm",Openness,Realistic
Lockpicking,Activity,,,"Dexterity, Mechanical Understanding, Patience, Problem Solving",Openness,Realistic
Cubing,Activity,,,"Memory, Pattern Recognition, Problem Solving, Speed",Conscientiousness,Realistic
Magic Tricks,Activity,,,"Dexterity, Entertainment, Performance, Practice",Openness,Realistic
Spotting,Activity,,,"Identification, Knowledge, Observation, Patience",Openness,Realistic
Diorama Building,Activity,,,"Attention to Detail, Craftsmanship, Creativity, Patience",Conscientiousness,Realistic
Historical Reenactment,Activity,,,"Acting, Costuming, Historical Knowledge, Improvisation",Openness,Realistic
LARP,Activity,,,"Acting, Costuming, Historical Knowledge, Improvisation",Openness,Realistic
Survival Skills,Activity,,,"Knowledge, Outdoor Skills, Problem Solving, Resourcefulness",Openness,Realistic
Knot Tying,Activity,,,"Manual Dexterity, Memory, Practical Skills, Precision",Openness,Realistic
